model,scenario,timestamp,gpu_exp,success,final_score,driving_mile,complete_percentage,driving_time,decision_time,comfort_score,efficiency_score,safety_score,red_light_penalty,speed_limit_penalty,fail_penalty,exp_dir
VLMagentCloseLoop,long,term_20250108,181109_gpu2_exp7,True,34.988,1002.987,100.0,134.8,13.470478523942761,0.182,0.146,0.498,0.49,0.865,1.0,VLMagentCloseLoop_long_term_20250108_181109_gpu2_exp7
PDM,intersection,20250109_003211,gpu0_exp2,True,74.961,103.422,100.0,17.2,0.0134220374257941,0.179,0.192,0.5,1.0,0.86,1.0,PDM_intersection_20250109_003211_gpu0_exp2
interfuser,roundabout,20250110_003814,gpu2_exp7,False,7.259,19.382,13.184,4.8,0.12072922321076089,0.179,0.238,0.5,1.0,1.0,0.6,interfuser_roundabout_20250110_003814_gpu2_exp7
Limsimtm,intersection,20250109_003211,gpu3_exp10,True,87.206,103.422,100.0,20.5,0.032461249828338624,0.214,0.158,0.5,1.0,1.0,1.0,Limsimtm_intersection_20250109_003211_gpu3_exp10
PDM,long,term_20250108,225630_gpu3_exp9,False,31.507,667.639,66.565,102.0,0.015738926879089177,0.143,0.217,0.499,1.0,0.918,0.6,PDM_long_term_20250108_225630_gpu3_exp9
interfuser,roundabout,20250110_003814,gpu2_exp6,False,2.073,17.236,11.724,4.7,0.12125247976054317,0.115,0.23,0.5,1.0,0.349,0.6,interfuser_roundabout_20250110_003814_gpu2_exp6
VLMagentCloseLoop,straight,20250109_003211,gpu2_exp8,True,45.893,341.933,100.0,32.3,9.171574523372035,0.195,0.22,0.5,1.0,0.501,1.0,VLMagentCloseLoop_straight_20250109_003211_gpu2_exp8
VLMagentCloseLoop,straight,20250109_003211,gpu1_exp4,True,66.374,341.933,100.0,41.9,9.545065277814865,0.193,0.225,0.5,1.0,0.723,1.0,VLMagentCloseLoop_straight_20250109_003211_gpu1_exp4
interfuser,intersection,20250110_003814,gpu3_exp10,True,65.659,103.422,100.0,23.3,0.10744825827664342,0.179,0.09,0.5,1.0,0.854,1.0,interfuser_intersection_20250110_003814_gpu3_exp10
interfuser,intersection,20250110_003814,gpu1_exp4,True,59.427,103.422,100.0,23.8,0.1103504820715023,0.184,0.089,0.5,1.0,0.768,1.0,interfuser_intersection_20250110_003814_gpu1_exp4
VLMagentCloseLoop,intersection,20250109_003211,gpu0_exp1,True,74.22,103.422,100.0,24.9,8.733453937198805,0.207,0.072,0.5,1.0,0.953,1.0,VLMagentCloseLoop_intersection_20250109_003211_gpu0_exp1
VLMagentCloseLoop,intersection,20250109_003211,gpu1_exp5,True,78.792,103.422,100.0,24.6,8.307656713154005,0.22,0.108,0.5,1.0,0.951,1.0,VLMagentCloseLoop_intersection_20250109_003211_gpu1_exp5
interfuser,straight,20250110_003814,gpu2_exp7,True,50.522,341.933,100.0,42.5,0.12052001705709493,0.168,0.242,0.481,1.0,0.567,1.0,interfuser_straight_20250110_003814_gpu2_exp7
VLMagentCloseLoop,ramp,20250109_003211,gpu1_exp5,True,53.846,192.728,100.0,23.9,9.143514134667136,0.15,0.158,0.5,0.7,0.951,1.0,VLMagentCloseLoop_ramp_20250109_003211_gpu1_exp5
PDM,roundabout,20250109_003211,gpu3_exp9,True,27.279,147.008,100.0,9.3,0.023486611635788628,0.032,0.25,0.5,1.0,0.349,1.0,PDM_roundabout_20250109_003211_gpu3_exp9
VLMagentCloseLoop,curve,20250109_003211,gpu0_exp1,True,78.59,247.67,100.0,34.1,9.460039630080715,0.172,0.209,0.405,1.0,1.0,1.0,VLMagentCloseLoop_curve_20250109_003211_gpu0_exp1
interfuser,ramp,20250110_003814,gpu0_exp3,True,55.139,192.728,100.0,30.9,0.10442327988612188,0.156,0.132,0.5,0.7,1.0,1.0,interfuser_ramp_20250110_003814_gpu0_exp3
VLMagentCloseLoop,intersection,20250109_003211,gpu2_exp8,True,79.883,103.422,100.0,25.7,15.535468260447184,0.235,0.103,0.5,1.0,0.953,1.0,VLMagentCloseLoop_intersection_20250109_003211_gpu2_exp8
PDM,curve,20250109_003211,gpu1_exp4,True,70.869,247.67,100.0,24.5,0.018384002271245738,0.116,0.25,0.5,1.0,0.818,1.0,PDM_curve_20250109_003211_gpu1_exp4
VLMagentCloseLoop,intersection,20250109_003211,gpu1_exp4,True,75.056,103.422,100.0,26.2,8.581297645568847,0.211,0.074,0.5,1.0,0.955,1.0,VLMagentCloseLoop_intersection_20250109_003211_gpu1_exp4
VLMagentCloseLoop,roundabout,20250109_003211,gpu0_exp3,True,63.202,147.008,100.0,20.7,16.35945429300007,0.113,0.197,0.5,1.0,0.78,1.0,VLMagentCloseLoop_roundabout_20250109_003211_gpu0_exp3
Limsimtm,roundabout,20250109_003211,gpu3_exp10,True,83.258,147.008,100.0,18.0,0.045394729165469896,0.102,0.23,0.5,1.0,1.0,1.0,Limsimtm_roundabout_20250109_003211_gpu3_exp10
interfuser,intersection,20250110_003814,gpu1_exp5,True,59.223,103.422,100.0,24.7,0.11199822561527656,0.176,0.124,0.5,1.0,0.74,1.0,interfuser_intersection_20250110_003814_gpu1_exp5
PDM,ramp,20250109_003211,gpu0_exp2,True,75.093,192.728,100.0,30.0,0.016290593705448417,0.158,0.154,0.469,1.0,0.962,1.0,PDM_ramp_20250109_003211_gpu0_exp2
PDM,intersection,20250109_003211,gpu1_exp4,True,79.947,103.422,100.0,17.2,0.014791257200185318,0.171,0.191,0.5,1.0,0.928,1.0,PDM_intersection_20250109_003211_gpu1_exp4
interfuser,ramp,20250110_003814,gpu2_exp7,True,54.87,192.728,100.0,31.1,0.11430136465257214,0.154,0.13,0.5,0.7,1.0,1.0,interfuser_ramp_20250110_003814_gpu2_exp7
Limsimtm,curve,20250109_003211,gpu2_exp6,True,87.545,247.67,100.0,27.8,0.05613665227536802,0.195,0.18,0.5,1.0,1.0,1.0,Limsimtm_curve_20250109_003211_gpu2_exp6
VLMagentCloseLoop,long,term_20250108,181109_gpu2_exp8,False,18.863,687.877,68.583,80.8,10.425023036667064,0.178,0.172,0.5,0.7,0.771,0.6,VLMagentCloseLoop_long_term_20250108_181109_gpu2_exp8
interfuser,straight,20250110_003814,gpu2_exp6,True,51.997,341.933,100.0,42.5,0.11208214456180357,0.166,0.227,0.5,1.0,0.583,1.0,interfuser_straight_20250110_003814_gpu2_exp6
